TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_taxon_status
32157ab0-41b1-4358-964d-21bec7525689,order,Animalia,t0003068,Myoida,accepted
7f8159ad-5140-44eb-8f6b-3274ab23102e,order,Animalia,t0002230,Unionida,accepted
bbd2e7a0-2c9d-419b-9ce0-e85af98b09e9,order,Animalia,t0002206,Teuthida,accepted
747cb664-1aad-4614-b43a-90a9a41fd5df,order,Animalia,t0002022,Octopoda,accepted
626643e6-ead3-4c28-8604-5c9c4f6f2735,order,Animalia,t0002145,Sepiolida,accepted
435698d5-4681-4c79-9dac-2c528f15c8b2,order,Animalia,t0002144,Sepiida,accepted
0ce9ff68-75fa-4f81-aee0-212fabe57a48,order,Animalia,t0003071,Nautiloida,accepted
93de83a0-bda7-4b26-888d-ef307a42b8cb,order,Animalia,t0002012,Neogastropoda,accepted
2466834c-4c2d-464d-a556-e7201a4eb929,order,Animalia,t0002189,Stylommatophora,accepted
3e36b6f7-a3a8-494e-85a4-ff457f5f4c26,order,Animalia,t0003060,Heterogastropoda,accepted
45018a69-4177-4864-82a2-74c9871fbdea,order,Animalia,t0003065,Mesogastropoda,accepted
340aa23a-49ff-45e4-a3a5-f05868c7c7c6,order,Animalia,t0003056,Entomotaeniata,accepted
ebaf0563-56e9-4a4c-85b1-b0ee493f8eb9,order,Animalia,t0001752,Cephalaspidea,accepted
2ba66b3d-f23b-47e6-b666-2883ff726ecc,order,Animalia,t0002021,Nudibranchia,accepted
15c87a0d-8411-4ce9-87bd-9fafcabbaa9f,order,Animalia,t0002209,Thecosomata,accepted
f7f66f52-0637-4e1a-bae6-27400192d4c1,order,Animalia,t0003040,Archaeopulmonata,accepted
c6dc9628-8a88-4de8-9545-0d130e546940,order,Animalia,t0003039,Archaeogastropoda,accepted
ec38dbbc-9211-4318-808b-1f073baf9d5c,order,Animalia,t0001683,Anaspidea,accepted
eebee2ca-ec22-422f-9061-619c68ced316,order,Animalia,t0003044,Basommatophora,accepted
e6451844-fa12-4323-92f8-8826e360aeb1,order,Animalia,t0003073,Notaspidea,accepted
55bb2b52-300d-4eb8-b46f-33caafd41b59,order,Animalia,t0003064,Lepetellida,accepted
51f8755a-bad0-4e45-92fd-6d5ca0d65d24,order,Animalia,t0002127,Sacoglossa,accepted
5b231ff8-6606-4d94-97a9-b839dd42c44b,order,Animalia,t0001954,Littorinimorpha,accepted
c2906e66-1b0d-4c8f-96bb-ff67face5017,order,Animalia,t0003083,Scholifera,accepted
9ec0a175-6444-43a3-a902-ab1cb256cfdb,order,Animalia,t0002195,Systellommatophora,accepted
00ddee71-245a-4f44-b612-e7e3bc929e57,order,Animalia,t0001884,Gymnosomata,accepted
7840f146-d98d-45c0-ae13-200ed61df406,order,Animalia,t0001656,Vetigastropoda,accepted
a7015052-981e-4acb-b9e7-0e0c15870d0b,order,Animalia,t0002229,Umbraculida,accepted
22d3c9a6-fec3-401a-a883-9eb444507eda,order,Animalia,t0001767,Chitonida,accepted
54bd2da9-eca7-45bf-b0c7-e8054c8ed598,order,Animalia,t0003086,Siphonodentalioida,accepted
