TT_taxonUUID,TT_taxonRank,TT_kingdom,TT_taiCOLNameCode,TT_simplifiedScientificName,TC_rank,TC_kingdom,TC_simple_name,TC_taxon_status,TC_is_in_taiwan
41752fb1-9278-471d-9e6e-da0f5f2b2b57,species,Animalia,t0076320,Batillaria cumingi,species,Animalia,Batillaria cumingii,accepted,TRUE
a8e5f24a-9aba-49f2-bf4f-1a1af8644287,species,Animalia,t0102722,Cerithidea djadjariensis,species,Animalia,Pirenella pupiformis,accepted,TRUE
0c6e4000-cd23-41d2-b47f-e567c5d96138,species,Animalia,t0030859,Cypraea mauritiana,species,Animalia,Mauritia mauritiana,accepted,TRUE
8e379ba3-5d41-4c76-8ea6-93fe6922a66f,species,Animalia,t0027878,Melanoides maculata,species,Animalia,Stenomelania macilenta,accepted,TRUE
d0d851a9-67a1-448b-bd5c-8f232f9f3753,species,Animalia,t0064043,Fossarus trochleris,species,Animalia,Fossarus trochlearis,accepted,TRUE
843cff6c-04d7-4bda-b029-dfba8abeb6a2,species,Animalia,t0080330,Modulus tectum,species,Animalia,Indomodulus tectum,accepted,TRUE
10634130-462e-45ac-97af-0950e9b51b75,species,Animalia,t0064569,Glossodoris atromarginata,species,Animalia,Doriprismatica atromarginata,accepted,TRUE
5d84e000-5f1d-42ed-84bc-356b9b165d29,species,Animalia,t0084026,Phidiana indica,species,Animalia,Caloria indica,accepted,TRUE
071e2b93-feb0-4d32-a311-1c74ef1d27e5,species,Animalia,t0081812,Notoacmea boninensis,subspecies,Animalia,Notoacmea schrenckii boninensis,accepted,TRUE
1ee65a71-943b-49e3-a31c-7c8e20de4365,species,Animalia,t0063359,Eulima peasei,species,Animalia,Hemiliostraca peasei,accepted,TRUE
8e92e329-637d-4b0c-b1e3-9122d7ab9463,species,Animalia,t0065608,Hippeutis umbilicalis,species,Animalia,Hippeutis (Helicorbis) umbilicalis,accepted,TRUE
5323e024-890a-4df4-9a4f-2605c8e33d41,species,Animalia,t0065607,Hippeutis carntori,species,Animalia,Helicorbis cantori,accepted,TRUE
9238a8f7-483e-44de-a9c5-d1102b9164b0,species,Animalia,t0077639,Caulastrea curvata,species,Animalia,Caulastraea curvata,accepted,TRUE
571f27c1-0f90-4a3d-a93f-61a1b884d52b,species,Animalia,t0072097,Aquilonastra burtoni,species,Animalia,Asterina burtoni,accepted,TRUE
5c8a0417-a861-4b7f-8484-0eefc33b6538,species,Animalia,t0078997,Colobocentrotus mertensi,species,Animalia,Colobocentrotus mertensii,accepted,TRUE
3a8f0183-4d10-440d-97d8-f79e9a75e67f,species,Animalia,t0031320,Ophiocoma pica,species,Animalia,Breviturma pica,accepted,TRUE
